Text                     ,HR                       ,"Veloc, Vento",Pisc_scobert,Pisc_scobert_50m2,50m2_Ts_colect   ,PavCol_scobert,Pisc_ccobert_50m2
14.39375,73.875,0.001,14.07816416,17.35611281,14.39375,14.13804884,19.39563735
14.04375,74.875,0.001,14.04980766,17.31521148,14.04375,14.10947227,19.34638016
13.65,76.3125,0.001,14.02076508,17.27368313,13.65,14.08021058,19.29654009
13.25,77.8125,0.001,13.99101553,17.23150674,13.25,14.05024287,19.25459348
12.85,79.3125,0.001,13.96054087,17.18866406,12.85,14.01955101,19.2376285
12.45,80.8125,0.001,13.92932124,17.14513513,12.45,13.98811516,19.22021119
12.05,82.3125,0.001,13.89733535,17.10089854,12.05,13.95591399,19.20233632
11.65,83.8125,0.001,13.86456072,17.05593171,11.65,13.92292505,19.18399836
11.25,85.3125,0.001,13.83097403,17.01021123,11.25,13.889125,19.16519157
10.85,86.8125,0.001,13.79655146,16.96371319,10.85,13.85449004,19.14591006
10.7125,87.4375,0.9630625,13.75479991,16.90400348,10.7125,13.8124247,19.11793062
10.6125,87.9375,2.0625625,13.70197329,16.82357743,10.6125,13.7591128,19.06929141
10.38125,88.875,2.41875,13.63584417,16.71906181,10.38125,13.69230217,18.99131358
10.13125,89.875,2.66875,13.57024417,16.61667426,10.13125,13.62604952,18.91700659
9.88125,90.875,2.13125,13.51342245,16.53170895,9.88125,13.56873222,18.86534851
9.63125,91.875,1.48125,13.460069,16.45404071,9.63125,13.51495094,18.82084862
9.425,92.4375,1.88125,13.40615968,16.37633056,9.425,13.4606226,18.77632933
9.225,92.9375,2.43125,13.34732429,16.29098204,9.225,13.40131951,18.7242831
9.06875,93.4375,2.45625,13.28593709,16.20208413,9.06875,13.33944638,18.66857201
8.91875,93.9375,2.40625,13.22436703,16.11356612,8.91875,13.27740001,18.61309922
8.85625,94.4375,2.4875,13.16251462,16.02489209,8.85625,13.21507406,18.55714925
8.80625,94.9375,2.5875,13.10018115,15.93555024,8.80625,13.15226322,18.50000894
